ID,STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,FY25 Lodging Rate,FY25 M&IE
,,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,,,$110,$68
1,AL,Birmingham,Jefferson,,,$ 126,$ 80
2,AL,Gulf Shores,Baldwin,October 1,February 28,$ 134,$ 74
2,AL,Gulf Shores,Baldwin,March 1,May 31,$ 163,$ 74
2,AL,Gulf Shores,Baldwin,June 1,July 31,$ 216,$ 74
2,AL,Gulf Shores,Baldwin,August 1,September 30,$ 134,$ 74
3,AL,Huntsville,Madison,October 1,March 31,$ 141,$ 74
3,AL,Huntsville,Madison,April 1,July 31,$ 134,$ 74
3,AL,Huntsville,Madison,August 1,September 30,$ 141,$ 74
460,AL,Mobile,Mobile,,,$ 114,$ 74
6,AR,Hot Springs,Garland,,,$ 114,$ 68
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,October 1,October 31,$ 144,$ 80
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,November 1,February 28,$ 110,$ 80
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,March 1,September 30,$ 144,$ 80
8,AZ,Kayenta,Navajo,,,$ 145,$ 74
10,AZ,Phoenix / Scottsdale,Maricopa,October 1,January 31,$ 160,$ 86
10,AZ,Phoenix / Scottsdale,Maricopa,February 1,March 31,$ 229,$ 86
10,AZ,Phoenix / Scottsdale,Maricopa,April 1,May 31,$ 161,$ 86
10,AZ,Phoenix / Scottsdale,Maricopa,June 1,August 31,$ 113,$ 86
10,AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,$ 160,$ 86
11,AZ,Sedona,City Limits of Sedona,October 1,December 31,$ 213,$ 92
11,AZ,Sedona,City Limits of Sedona,January 1,February 28,$ 164,$ 92
11,AZ,Sedona,City Limits of Sedona,March 1,April 30,$ 274,$ 92
11,AZ,Sedona,City Limits of Sedona,May 1,August 31,$ 183,$ 92
11,AZ,Sedona,City Limits of Sedona,September 1,September 30,$ 213,$ 92
12,AZ,Tucson,Pima,October 1,December 31,$ 123,$ 80
12,AZ,Tucson,Pima,January 1,March 31,$ 171,$ 80
12,AZ,Tucson,Pima,April 1,September 30,$ 123,$ 80
14,CA,Antioch / Brentwood / Concord,Contra Costa,,,$ 147,$ 86
481,CA,Bakersfield / Ridgecrest,Kern,,,$ 132,$ 74
16,CA,Barstow / Ontario / Victorville,San Bernardino,,,$ 124,$ 86
20,CA,Death Valley,Inyo / NAWS China Lake,,,$ 142,$ 80
461,CA,Eureka / Arcata / McKinleyville,Humboldt,October 1,May 31,$ 125,$ 86
461,CA,Eureka / Arcata / McKinleyville,Humboldt,June 1,August 31,$ 172,$ 86
461,CA,Eureka / Arcata / McKinleyville,Humboldt,September 1,September 30,$ 125,$ 86
21,CA,Fresno,Fresno,,,$ 129,$ 86
22,CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,,,$ 191,$ 86
23,CA,Mammoth Lakes,Mono,October 1,November 30,$ 139,$ 86
23,CA,Mammoth Lakes,Mono,December 1,March 31,$ 195,$ 86
23,CA,Mammoth Lakes,Mono,April 1,September 30,$ 139,$ 86
24,CA,Mill Valley / San Rafael / Novato,Marin,October 1,May 31,$ 153,$ 92
24,CA,Mill Valley / San Rafael / Novato,Marin,June 1,September 30,$ 175,$ 92
26,CA,Monterey,Monterey,October 1,January 31,$ 191,$ 92
26,CA,Monterey,Monterey,February 1,June 30,$ 199,$ 92
26,CA,Monterey,Monterey,July 1,August 31,$ 279,$ 92
26,CA,Monterey,Monterey,September 1,September 30,$ 191,$ 92
27,CA,Napa,Napa,October 1,November 30,$ 246,$ 92
27,CA,Napa,Napa,December 1,January 31,$ 172,$ 92
27,CA,Napa,Napa,February 1,September 30,$ 246,$ 92
28,CA,Oakhurst,Madera ,,,$ 135,$ 80
29,CA,Oakland,Alameda,,,$ 145,$ 92
30,CA,Palm Springs,Riverside,October 1,April 30,$ 186,$ 86
30,CA,Palm Springs,Riverside,May 1,September 30,$ 141,$ 86
31,CA,Point Arena / Gualala,Mendocino,,,$ 129,$ 86
33,CA,Sacramento,Sacramento,,,$ 150,$ 86
34,CA,San Diego,San Diego,October 1,May 31,$ 199,$ 86
34,CA,San Diego,San Diego,June 1,July 31,$ 237,$ 86
34,CA,San Diego,San Diego,August 1,September 30,$ 199,$ 86
35,CA,San Francisco,San Francisco,October 1,December 31,$ 272,$ 92
35,CA,San Francisco,San Francisco,January 1,August 31,$ 259,$ 92
35,CA,San Francisco,San Francisco,September 1,September 30,$ 272,$ 92
36,CA,San Luis Obispo,San Luis Obispo,October 1,May 31,$ 163,$ 86
36,CA,San Luis Obispo,San Luis Obispo,June 1,July 31,$ 203,$ 86
36,CA,San Luis Obispo,San Luis Obispo,August 1,September 30,$ 163,$ 86
37,CA,San Mateo / Foster City / Belmont,San Mateo,,,$ 183,$ 86
38,CA,Santa Barbara,Santa Barbara,October 1,June 30,$ 205,$ 92
38,CA,Santa Barbara,Santa Barbara,July 1,August 31,$ 262,$ 92
38,CA,Santa Barbara,Santa Barbara,September 1,September 30,$ 205,$ 92
39,CA,Santa Cruz,Santa Cruz,October 1,May 31,$ 139,$ 86
39,CA,Santa Cruz,Santa Cruz,June 1,August 31,$ 176,$ 86
39,CA,Santa Cruz,Santa Cruz,September 1,September 30,$ 139,$ 86
40,CA,Santa Monica ,City limits of Santa Monica,,,$ 273,$ 92
41,CA,Santa Rosa,Sonoma,,,$ 157,$ 86
42,CA,South Lake Tahoe,El Dorado,October 1,November 30,$ 141,$ 86
42,CA,South Lake Tahoe,El Dorado,December 1,March 31,$ 247,$ 86
42,CA,South Lake Tahoe,El Dorado,April 1,May 31,$ 143,$ 86
42,CA,South Lake Tahoe,El Dorado,June 1,August 31,$ 171,$ 86
42,CA,South Lake Tahoe,El Dorado,September 1,September 30,$ 141,$ 86
43,CA,Stockton ,San Joaquin,,,$ 132,$ 74
